Designator;Quanity;Comment;Footprint;Datasheet
C1,C3;2;47uF;GRM31CR61A476ME15L:CAPC3216X180N;~
C2,C4,C8,C9,C14,C15;6;22uF;GRM21BR61A226ME51L:CAPC2012X140N;~
C5,C6,C12,C17,C18,C20,C22,C23,C24;9;100nF;CC0603KRX7R9BB104:CC0603KRX7R9BB104;~
C7,C13,C27,C32;4;100nF;CC0402KRX7R7BB104:CAPC1005X55N;~
C10,C11;2;10uF;CL21A106KAYNNNE:CAPC2012X135N;~
C16,C19,C21,C28,C29,C30,C31;7;1uF;GRM155R60J105KE19D:CAPC1005X55N;~
C25,C26;2;15pF;GRM1555C1H150JA01D:CAPC1005X55N;~
D1;1;APHHS1005CGCK;APHHS1005CGCK:LED_APHHS1005CGCK;
IC1;1;AP2112K-3.3;Package_TO_SOT_SMD:SOT-23-5;https://www.diodes.com/assets/Datasheets/AP2112.pdf
IC2;1;MPQ4420HGJ-Z;MPQ4420HGJ-Z:TSOT23-8_MPQ4420H_MNP;MPQ4420HGJ-Z
IC3;1;W25Q128JVSIQ;W25Q128JVSIQ:SOIC127P790X216-8N;
IC4;1;ESP32-S3R8;ESP32-S3R8:QFN40P700X700X90-57N;
IC5;1;AW9364DNR;AW9364DNR:SON50P200X200X80-9N-D;https://datasheet.lcsc.com/szlcsc/1912111437_AWINIC-Shanghai-Awinic-Tech-AW9364DNR_C401007.pdf
L1;1;10uH;VLS252012HBX-100M-1:IND_VLS252012HBX-100M-1;
L2;1;22nH;LQG18HN22NJ00D:INDC1608X95N;
Q1;1;40MHz;S3240000151040:CRYSTAL-SMD_4P-L3.2-W2.5-BL;https://atta.szlcsc.com/upload/public/pdf/source/20191012/C431172_99BCDFC5E39E114929AE7F9C9DED2B9F.pdf
R1,R4,R9,R12;4;100k;RC0402FR-07100KL:RC0402FR-07100KL;~
R2;1;20;RC0402JR-0720RL:RESC1005X40N;~
R3;1;1M;RC0402JR-071ML:R0402;~
R5;1;51k;RC0402FR-0751KL:RESC1005X40N;~
R6;1;33k;RC0402FR-0733KL:RESC1005X40N;~
R7;1;8.2k;RC0402FR-078K2L:RESC1005X40N;~
R8;1;13k;0402WGF1302TCE:RESC1005X40N;~
R10,R11,R13,R14;4;10k;RC0402JR-0710KL:RC0402JR-0710KL;~
R15;1;220;RC0402FR-07220RL:RESC1005X40N;~
R16,R17;2;5.1k;0402WGF5101TCE:RESC1005X40N;~
ST1;1;B2B-EH-A (LF)(SN);JST_B2B-EH-A(LF)(SN):SHDR2W64P0X250_1X2_750X380X600P;http://www.farnell.com/datasheets/2057210.pdf
ST2;1;USB4105-GF-A;TYPE-C-USB4105-GF-A:GCT_USB4105-GF-A;
ST3;1;~;KH-CL0.5-H2.0-30PIN:KH-CL0.5-H2.0-30PIN;
ST4,ST5;2;12 Pin 2.54 Header;12P_2.54_X6511WV-12H-C60D30:X6511WV-12H-C60D30;~
SW1;1;TS-1010B-B-A;TS-1010B-B-A:SW_010B-B-A_XKB;https://www.ckswitches.com/media/1482/kms.pdf
SW2,SW3;2;PTS810SJK250SMTRLFS;PTS810SJK250SMTRLFS:PTS810SJG250SMTRLFS;https://www.ckswitches.com/media/1482/kms.pdf